Date,Event mm,Flag,
23/04/2014 13:04:27,0,I,
23/04/2014 13:05:30,0,x,
23/04/2014 13:06:58,0,x,
23/04/2014 19:41:30,0.2,,
23/04/2014 19:54:07,0.2,,
23/04/2014 20:03:49,0.2,,
23/04/2014 20:23:47,0.2,,
23/04/2014 20:44:49,0.2,,
24/04/2014 00:07:27,0.2,,
24/04/2014 00:24:33,0.2,,
24/04/2014 00:44:46,0.2,,
24/04/2014 06:47:24,0.2,,
24/04/2014 07:14:26,0.2,,
24/04/2014 07:26:43,0.2,,
24/04/2014 07:26:44,0.2,,
24/04/2014 07:35:48,0.2,,
24/04/2014 07:45:44,0.2,,
24/04/2014 08:09:44,0.2,,
24/04/2014 08:17:58,0.2,,
24/04/2014 08:24:45,0.2,,
24/04/2014 08:43:28,0.2,,
24/04/2014 09:12:42,0.2,,
24/04/2014 09:40:30,0.2,,
24/04/2014 10:42:35,0.2,,
24/04/2014 10:55:38,0.2,,
24/04/2014 11:03:46,0.2,,
24/04/2014 11:11:07,0.2,,
24/04/2014 11:18:09,0.2,,
24/04/2014 11:22:51,0.2,,
24/04/2014 11:27:39,0.2,,
24/04/2014 11:34:34,0.2,,
24/04/2014 12:08:08,0.2,,
24/04/2014 12:45:44,0.2,,
24/04/2014 13:08:46,0.2,,
24/04/2014 13:14:56,0.2,,
24/04/2014 13:34:03,0.2,,
24/04/2014 13:47:22,0.2,,
24/04/2014 13:51:32,0.2,,
24/04/2014 13:55:49,0.2,,
24/04/2014 14:04:07,0.2,,
24/04/2014 14:09:14,0.2,,
24/04/2014 14:12:56,0.2,,
24/04/2014 14:17:29,0.2,,
24/04/2014 15:01:56,0.2,,
24/04/2014 15:17:47,0.2,,
24/04/2014 15:27:38,0.2,,
24/04/2014 15:59:32,0.2,,
24/04/2014 16:17:21,0.2,,
24/04/2014 16:36:29,0.2,,
24/04/2014 17:05:55,0.2,,
24/04/2014 17:12:43,0.2,,
24/04/2014 17:23:34,0.2,,
24/04/2014 17:30:12,0.2,,
24/04/2014 17:36:10,0.2,,
24/04/2014 17:44:46,0.2,,
24/04/2014 17:44:47,0.2,,
24/04/2014 17:49:06,0.2,,
24/04/2014 17:49:07,0.2,,
24/04/2014 17:51:38,0.2,,
24/04/2014 18:02:01,0.2,,
24/04/2014 18:08:04,0.2,,
24/04/2014 18:08:05,0.2,,
24/04/2014 18:20:33,0.2,,
24/04/2014 18:28:29,0.2,,
24/04/2014 18:28:30,0.2,,
24/04/2014 18:42:27,0.2,,
24/04/2014 18:57:19,0.2,,
24/04/2014 19:23:26,0.2,,
24/04/2014 19:23:27,0.2,,
24/04/2014 21:10:32,0.2,,
24/04/2014 21:31:59,0.2,,
24/04/2014 22:15:16,0.2,,
24/04/2014 22:51:54,0.2,,
25/04/2014 00:19:58,0.2,,
25/04/2014 00:32:39,0.2,,
25/04/2014 00:45:51,0.2,,
25/04/2014 00:55:12,0.2,,
25/04/2014 07:13:12,0.2,,
25/04/2014 07:29:17,0.2,,
25/04/2014 07:42:09,0.2,,
25/04/2014 07:52:08,0.2,,
25/04/2014 08:01:18,0.2,,
25/04/2014 08:14:44,0.2,,
25/04/2014 08:49:00,0.2,,
25/04/2014 10:46:14,0.2,,
26/04/2014 06:36:42,0.2,,
26/04/2014 06:51:21,0.2,,
26/04/2014 06:56:09,0.2,,
26/04/2014 07:02:31,0.2,,
26/04/2014 07:13:35,0.2,,
26/04/2014 07:35:50,0.2,,
26/04/2014 08:02:23,0.2,,
26/04/2014 09:10:09,0.2,,
26/04/2014 09:26:00,0.2,,
26/04/2014 09:34:49,0.2,,
26/04/2014 11:07:49,0.2,,
26/04/2014 13:23:05,0.2,,
26/04/2014 13:48:46,0.2,,
26/04/2014 14:15:07,0.2,,
26/04/2014 15:21:32,0.2,,
26/04/2014 22:04:26,0.2,,
26/04/2014 22:07:35,0.2,,
26/04/2014 22:15:24,0.2,,
27/04/2014 04:23:03,0.2,,
27/04/2014 04:25:42,0.2,,
27/04/2014 04:27:39,0.2,,
27/04/2014 04:29:55,0.2,,
27/04/2014 04:32:07,0.2,,
27/04/2014 04:34:47,0.2,,
27/04/2014 04:39:03,0.2,,
27/04/2014 04:42:52,0.2,,
27/04/2014 04:46:36,0.2,,
27/04/2014 04:52:37,0.2,,
27/04/2014 05:04:54,0.2,,
27/04/2014 05:04:55,0.2,,
27/04/2014 05:39:07,0.2,,
27/04/2014 05:39:08,0.2,,
27/04/2014 11:05:46,0.2,,
27/04/2014 15:14:43,0.2,,
28/04/2014 12:58:50,0.2,,
29/04/2014 00:20:38,0.2,,
29/04/2014 00:22:11,0.2,,
29/04/2014 00:22:57,0.2,,
29/04/2014 00:23:47,0.2,,
29/04/2014 00:24:32,0.2,,
29/04/2014 00:24:33,0.2,,
29/04/2014 00:25:19,0.2,,
29/04/2014 00:25:50,0.2,,
29/04/2014 00:26:19,0.2,,
29/04/2014 00:26:20,0.2,,
29/04/2014 00:26:51,0.2,,
29/04/2014 00:27:18,0.2,,
29/04/2014 00:27:43,0.2,,
29/04/2014 00:28:11,0.2,,
29/04/2014 00:28:12,0.2,,
29/04/2014 00:28:47,0.2,,
29/04/2014 00:29:12,0.2,,
29/04/2014 00:29:34,0.2,,
29/04/2014 00:30:00,0.2,,
29/04/2014 00:30:24,0.2,,
29/04/2014 00:30:43,0.2,,
29/04/2014 00:31:07,0.2,,
29/04/2014 00:31:26,0.2,,
29/04/2014 00:31:48,0.2,,
29/04/2014 00:32:17,0.2,,
29/04/2014 00:34:21,0.2,,
29/04/2014 00:38:06,0.2,,
29/04/2014 00:39:41,0.2,,
29/04/2014 00:41:09,0.2,,
29/04/2014 00:42:43,0.2,,
29/04/2014 00:44:04,0.2,,
29/04/2014 00:46:29,0.2,,
29/04/2014 00:48:44,0.2,,
29/04/2014 00:51:27,0.2,,
29/04/2014 00:51:28,0.2,,
29/04/2014 00:53:21,0.2,,
29/04/2014 00:55:13,0.2,,
29/04/2014 00:57:17,0.2,,
29/04/2014 00:57:18,0.2,,
29/04/2014 00:59:49,0.2,,
29/04/2014 00:59:50,0.2,,
29/04/2014 01:02:06,0.2,,
29/04/2014 01:05:04,0.2,,
29/04/2014 01:08:16,0.2,,
29/04/2014 01:11:23,0.2,,
29/04/2014 01:14:44,0.2,,
29/04/2014 01:18:53,0.2,,
29/04/2014 01:22:59,0.2,,
29/04/2014 01:25:15,0.2,,
29/04/2014 01:26:28,0.2,,
29/04/2014 01:27:53,0.2,,
29/04/2014 01:28:43,0.2,,
29/04/2014 01:29:35,0.2,,
29/04/2014 01:30:15,0.2,,
29/04/2014 01:31:11,0.2,,
29/04/2014 01:32:11,0.2,,
29/04/2014 01:33:55,0.2,,
29/04/2014 01:37:30,0.2,,
29/04/2014 01:40:24,0.2,,
29/04/2014 01:42:11,0.2,,
29/04/2014 01:43:51,0.2,,
29/04/2014 01:46:01,0.2,,
29/04/2014 01:48:25,0.2,,
29/04/2014 01:50:06,0.2,,
29/04/2014 01:53:21,0.2,,
29/04/2014 01:59:09,0.2,,
29/04/2014 02:06:35,0.2,,
29/04/2014 02:15:58,0.2,,
29/04/2014 02:23:55,0.2,,
29/04/2014 02:28:56,0.2,,
29/04/2014 02:31:55,0.2,,
29/04/2014 02:37:10,0.2,,
29/04/2014 02:42:05,0.2,,
29/04/2014 02:45:08,0.2,,
29/04/2014 02:47:16,0.2,,
29/04/2014 02:49:01,0.2,,
29/04/2014 02:50:54,0.2,,
29/04/2014 02:52:11,0.2,,
29/04/2014 02:53:36,0.2,,
29/04/2014 02:54:46,0.2,,
29/04/2014 02:56:14,0.2,,
29/04/2014 02:57:40,0.2,,
29/04/2014 02:59:26,0.2,,
29/04/2014 03:00:50,0.2,,
29/04/2014 03:01:46,0.2,,
29/04/2014 03:02:27,0.2,,
29/04/2014 03:03:25,0.2,,
29/04/2014 03:04:06,0.2,,
29/04/2014 03:05:11,0.2,,
29/04/2014 03:06:10,0.2,,
29/04/2014 03:07:42,0.2,,
29/04/2014 03:08:52,0.2,,
29/04/2014 03:10:07,0.2,,
29/04/2014 03:11:09,0.2,,
29/04/2014 03:12:11,0.2,,
29/04/2014 03:13:06,0.2,,
29/04/2014 03:13:59,0.2,,
29/04/2014 03:14:52,0.2,,
29/04/2014 03:15:49,0.2,,
29/04/2014 03:16:48,0.2,,
29/04/2014 03:17:45,0.2,,
29/04/2014 03:18:33,0.2,,
29/04/2014 03:19:23,0.2,,
29/04/2014 03:20:07,0.2,,
29/04/2014 03:21:01,0.2,,
29/04/2014 03:22:12,0.2,,
29/04/2014 03:23:29,0.2,,
29/04/2014 03:24:40,0.2,,
29/04/2014 03:25:42,0.2,,
29/04/2014 03:26:41,0.2,,
29/04/2014 03:27:47,0.2,,
29/04/2014 03:28:52,0.2,,
29/04/2014 03:30:26,0.2,,
29/04/2014 03:31:46,0.2,,
29/04/2014 03:31:47,0.2,,
29/04/2014 03:33:23,0.2,,
29/04/2014 03:34:34,0.2,,
29/04/2014 03:36:17,0.2,,
29/04/2014 03:37:46,0.2,,
29/04/2014 03:39:22,0.2,,
29/04/2014 03:41:37,0.2,,
29/04/2014 03:43:47,0.2,,
29/04/2014 03:45:01,0.2,,
29/04/2014 03:46:06,0.2,,
29/04/2014 03:47:27,0.2,,
29/04/2014 03:49:10,0.2,,
29/04/2014 03:50:57,0.2,,
29/04/2014 03:53:10,0.2,,
29/04/2014 03:54:40,0.2,,
29/04/2014 03:56:28,0.2,,
29/04/2014 03:57:44,0.2,,
29/04/2014 03:59:15,0.2,,
29/04/2014 04:00:43,0.2,,
29/04/2014 04:02:07,0.2,,
29/04/2014 04:03:41,0.2,,
29/04/2014 04:06:10,0.2,,
29/04/2014 04:07:53,0.2,,
29/04/2014 04:09:25,0.2,,
29/04/2014 04:11:15,0.2,,
29/04/2014 04:13:22,0.2,,
29/04/2014 04:15:42,0.2,,
29/04/2014 04:18:29,0.2,,
29/04/2014 04:21:16,0.2,,
29/04/2014 04:25:12,0.2,,
29/04/2014 04:27:49,0.2,,
29/04/2014 04:27:50,0.2,,
29/04/2014 04:30:06,0.2,,
29/04/2014 04:31:45,0.2,,
29/04/2014 04:34:03,0.2,,
29/04/2014 04:37:54,0.2,,
29/04/2014 04:40:49,0.2,,
29/04/2014 04:43:41,0.2,,
29/04/2014 04:48:30,0.2,,
29/04/2014 04:51:54,0.2,,
29/04/2014 04:56:28,0.2,,
29/04/2014 05:05:10,0.2,,
29/04/2014 05:11:44,0.2,,
29/04/2014 05:32:58,0.2,,
29/04/2014 05:32:59,0.2,,
29/04/2014 12:27:48,0.2,,
29/04/2014 15:14:44,0.2,,
29/04/2014 15:29:33,0.2,,
29/04/2014 15:36:45,0.2,,
29/04/2014 15:41:28,0.2,,
29/04/2014 15:53:52,0.2,,
29/04/2014 20:00:46,0.2,,
29/04/2014 20:08:14,0.2,,
29/04/2014 20:08:15,0.2,,
29/04/2014 20:40:41,0.2,,
29/04/2014 21:24:35,0.2,,
29/04/2014 21:43:23,0.2,,
29/04/2014 21:48:09,0.2,,
29/04/2014 21:51:00,0.2,,
29/04/2014 21:53:39,0.2,,
29/04/2014 21:56:16,0.2,,
29/04/2014 21:56:17,0.2,,
29/04/2014 22:00:31,0.2,,
29/04/2014 22:05:17,0.2,,
29/04/2014 22:10:54,0.2,,
29/04/2014 22:10:55,0.2,,
29/04/2014 22:14:35,0.2,,
29/04/2014 22:17:07,0.2,,
29/04/2014 22:20:43,0.2,,
29/04/2014 22:23:23,0.2,,
29/04/2014 22:23:24,0.2,,
29/04/2014 22:26:08,0.2,,
29/04/2014 22:31:08,0.2,,
29/04/2014 22:36:52,0.2,,
29/04/2014 22:41:13,0.2,,
29/04/2014 22:56:57,0.2,,
29/04/2014 23:08:02,0.2,,
29/04/2014 23:12:09,0.2,,
29/04/2014 23:14:50,0.2,,
29/04/2014 23:17:53,0.2,,
29/04/2014 23:20:11,0.2,,
29/04/2014 23:22:31,0.2,,
29/04/2014 23:23:53,0.2,,
29/04/2014 23:25:37,0.2,,
29/04/2014 23:27:54,0.2,,
